Titolo,URL progetto,URL progetto risolve?,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
catalogue,https://projects.dharc.unibo.it/knot/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2024-12-13 04:18:48,2024-12-15 07:15:46,200,https://web.archive.org/web/20241215071546/https://projects.dharc.unibo.it/knot/static/js/main.js,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Catalogus Philologorum Classicorum (CPhCl),http://www.aristarchus.unige.net/CPhCl/en/Home,TRUE,,,,,KNOT,http://purl.org/knot/data/cphci-project,FALSE,error 404 not found,2017-09-28 12:52:45,2024-07-21 13:01:09,200,https://web.archive.org/web/20240721130109/http://www.aristarchus.unige.net/CPhCl/en/Home,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Cipro,https://cipro.biblhertz.it/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2021-06-24 15:55:38,2024-12-04 21:25:56,200,https://web.archive.org/web/20241204212556/https://cipro.biblhertz.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
CLaSSES - Corpus for Latin Sociolinguistic Studies on Epigraphic textS,https://classes-latin-linguistics.fileli.unipi.it/en,TRUE,,,,,KNOT,http://purl.org/knot/data/classes-project,FALSE,,2020-10-23 21:57:04,2024-10-02 17:52:39,500,https://web.archive.org/web/20241002175239/http://classes-latin-linguistics.fileli.unipi.it/en,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Classici Dse (EVT viewer),https://www.classici-dse.com/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2021-11-29 17:14:13,2023-08-29 10:38:19,200,https://web.archive.org/web/20230829103819/http://classici-dse.com/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Clavius Correspondence,http://claviusontheweb.it/lod,FALSE,,FALSE,,FALSE,AIUCD,,FALSE,,2022-01-19 23:34:09,2022-01-20 18:11:23,NOSTATUSCODE,https://web.archive.org/web/20220120181123/http://claviusontheweb.it/lod/css/main.css,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
CLEF Ad-hoc: A Perspective on the Evolution of the Cross-Language Evaluation Forum,http://ims.dei.unipd.it/gridclef/,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,2008-11-09 07:48:28,2015-06-29 16:09:11,404,https://web.archive.org/web/20150629160911/http://ims.dei.unipd.it:80/gridclef/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Clori - archivio della cantata italiana,https://cantataitaliana.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/clori-project,FALSE,,2011-10-30 09:03:36,2024-12-29 00:55:12,200,https://web.archive.org/web/20241229005512/http://cantataitaliana.it/query_bid.php?id=2718,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
CO.COR (COMPLIMENT CORPUS),http://www.cocor.eu/index.php,TRUE,,,,,KNOT,http://purl.org/knot/data/cocor-project,TRUE,,2020-12-30 05:20:10,2023-10-26 00:43:20,403,https://web.archive.org/web/20231026004320/http://cocor.eu/index.php,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Codex Atlanticus: exploring the largest exhisting collection of writings and drawings of Leonardo Da Vinci,https://codex-atlanticus.ambrosiana.it/#/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2022-06-21 22:27:33,2024-12-22 10:53:28,200,https://web.archive.org/web/20241222105328/http://codex-atlanticus.ambrosiana.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Colonizzazioni interne e Migrazioni,https://storia.dh.unica.it/colonizzazioninterne/,TRUE,,,,,KNOT,http://purl.org/knot/data/col-interne-project,FALSE,"fa un redicrect, e poi impossibile raggiungere il sito",2020-09-24 14:17:44,2024-12-26 11:13:46,200,https://web.archive.org/web/20241226111346/https://storia.dh.unica.it/colonizzazioninterne/it/popolazionismi-regno-di-sardegna-xviii-mappa-dei-popolamenti,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Confluenze,https://confluenze.dev/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,mi sembra un sitovetrina e basta,2024-04-18 17:03:56,2024-12-24 12:32:22,200,https://web.archive.org/web/20241224123222/http://www.confluenze.dev/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Controcultura,https://echaurren.biblhertz.it/PE.html,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2021-08-03 22:56:58,2024-12-14 20:49:06,200,https://web.archive.org/web/20241214204906/https://echaurren.biblhertz.it/PE.html,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
CoPhiLab: Collaborative and Cooperative Philology Lab,http://www.languagelibrary.eu/new_ewnui/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2017-06-12 00:33:27,2024-03-07 18:27:00,200,https://web.archive.org/web/20240307182700/http://www.languagelibrary.eu/new_ewnui/js/main.js,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Corago,http://corago.unibo.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/corago-project,FALSE,,2013-10-05 19:43:16,2025-01-05 03:47:02,200,https://web.archive.org/web/20250105034702/https://corago.unibo.it/bundles/corago/images/libretti/MOe/70I026/10248/thumbs/10248_MOe70I026_03_0019.jpg,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Corago LOD,http://corago.unibo.it/lod,FALSE,,,,,KNOT,http://purl.org/knot/data/corago-lod-project,FALSE,,2022-06-07 08:53:46,2022-12-08 05:13:43,404,https://web.archive.org/web/20221208051343/http://corago.unibo.it/lod,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Corpus KIParla - L'italiano parlato e chi parla italiano,https://kiparla.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/kiparla-project,TRUE,,2020-08-05 13:29:31,2024-11-16 08:55:14,NOSTATUSCODE,https://web.archive.org/web/20241116085514/https://www.kiparla.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Corpus Rhythmorum Musicum,https://www.corimu.unisi.it/public/frontend/index,TRUE,,,,,KNOT,http://purl.org/knot/data/corimu-project,FALSE,,2021-07-25 00:28:35,2023-03-21 00:23:42,200,https://web.archive.org/web/20230321002342/https://www.corimu.unisi.it/public/frontend/index,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
