Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
melody. make me a linked open data story,https://projects.dharc.unibo.it/melody/,True,,False,,False,Italian DH Institutions,,False,,2022-10-06 19:12:07,2024-05-19 15:12:33
odi: uno studio su il castello dei destini incrociati di italo calvino,https://projects.dharc.unibo.it/odi/,True,,False,,False,Italian DH Institutions,,False,,2023-11-29 02:07:18,2024-07-04 06:51:03
philoeditor,http://projects.dharc.unibo.it/philoeditor/,True,,False,,False,Italian DH Institutions,,False,,2021-12-17 00:19:11,2024-08-06 10:08:33
semantic digital edition of paolo bufalini’s notebook,http://projects.dharc.unibo.it/bufalini-notebook/,True,,False,,False,Italian DH Institutions,,False,,2020-11-21 23:26:27,2024-11-27 00:45:51
vasto,https://dharc-org.github.io/progetto-vasto/,True,,False,,False,Italian DH Institutions,,False,,2020-09-10 09:59:42,2023-12-04 20:30:05
semantic digital edition of vespasiano da bisticci’s letters,http://projects.dharc.unibo.it/vespasiano/,True,,False,,False,Italian DH Institutions,,False,,2020-12-04 15:42:31,2024-03-02 13:09:04
śivadharma database,,False,https://shivadharmaproject.com/the-sivadhama-infrastructure-modeling-a-web-application-for-managing-scholarly-data/,True,,False,Italian DH Institutions,,False,,,
zeri e lode,http://data.fondazionezeri.unibo.it/,True,,False,,False,Italian DH Institutions,,True,sparql endpoint non accessibile,2016-06-20 13:45:22,2024-12-01 02:11:45
Archivio fonti orali,https://pric.unive.it/progetti/archivio-fonti-orali/home,True,,False,,False,Italian DH Institutions,,False,,2019-06-28 11:12:06,2023-10-26 09:02:33
The Falconieri Project,https://falconieri.medici.org/Mia/LoginUser.do,True,,False,,False,Italian DH Institutions,,True,accessibile con credenziali,2021-02-28 04:06:39,2024-12-04 07:06:04
Odonomastica Femminile,http://www.labcd.unipi.it/odonomastica-femminile/,True,,False,,False,Italian DH Institutions,,True,alcune visualizzazioni non sono accessibili tipo % 100 toponimi più frequenti,2020-10-25 22:19:50,2022-03-08 06:39:52
Parthenos Project,,False,http://www.parthenos-project.eu/,True,,False,Italian DH Institutions,,False,,,
e-rihs,https://www.e-rihs.eu/ ,True,,False,,False,Italian DH Institutions,,False,,2022-05-18 16:23:35,2024-04-23 10:53:00
3d icons,http://3dicons.ceti.gr/ ,True,,False,,False,Italian DH Institutions,,True,problemi con javascript,,
Pelavicino,http://pelavicino.labcd.unipi.it/,True,,False,,False,Italian DH Institutions,,False,,2016-05-08 05:12:07,2024-12-05 11:39:06
The Vercelli Book,http://vbd.humnet.unipi.it/beta2/,True,,False,,False,Italian DH Institutions,,False,,2014-09-08 02:09:58,2024-09-10 03:00:34
Flos,http://iu.di.unipi.it/flos/,True,,False,,False,Italian DH Institutions,,False,,2015-12-25 00:43:10,2024-11-21 13:02:49
Matilde Di Canossa,http://www.labcd.unipi.it/matildedicanossa,True,,False,,False,Italian DH Institutions,,False,,2016-03-26 12:43:08,2024-12-13 03:23:06
Classici Dse (EVT viewer),https://www.classici-dse.com/,True,,False,,False,Italian DH Institutions,,False,,2019-12-07 05:03:59,2022-05-19 01:17:10
Index Thomisticus Treebank,https://itreebank.marginalia.it/,True,,False,,False,Italian DH Institutions,,False,,2021-03-19 07:48:28,2024-05-18 08:50:39
Lemlat,,False,http://www.lemlat3.eu/,True,,False,Italian DH Institutions,,True,protocolo https non aggiornato,2021-11-29 17:14:15,2023-08-29 10:38:19
Word formation latin,https://progetti.unicatt.it/progetti-milan-wfl-home,True,http://wfl.marginalia.it,True,,False,Italian DH Institutions,,False,,2008-12-17 15:41:46,2024-12-03 12:34:33
Alpion,https://alpion.unict.it,True,,False,,False,Italian DH Institutions,,False,,,
